geo_id,latitude,longitude
0,41.4455,-82.1377
1,29.8736,-90.0568
2,39.9272,-82.0073
3,36.1189,-95.8429
4,30.6884,-87.048
5,38.4333,-84.3542
6,45.5252,-122.992
7,36.8802,-80.0085
8,42.0999,-72.5896
9,33.5746,-81.7321
10,47.7549,-117.402
11,40.9764,-75.2797
12,40.4107,-79.993
13,42.267,-71.0989
14,47.6,-122.332
15,33.5396,-86.7628
16,34.5544,-92.5802
17,43.1682,-77.6019
18,42.3223,-122.868
19,45.2615,-122.687
20,45.2615,-122.687
21,47.986,-122.203
22,29.6537,-95.4568
23,30.443,-88.9163
24,32.9777,-104.423
25,35.093,-106.644
26,35.093,-106.644
27,35.093,-106.644
28,35.093,-106.644
29,36.2321,-76.1573
30,33.1202,-85.2172
31,41.6923,-86.6932
32,41.4302,-81.5889
33,46.4464,-120.452
34,40.6695,-111.963
35,32.0604,-111.269
36,33.5816,-83.9434
37,43.5802,-83.9084
38,27.795,-97.3989
39,41.748,-74.0837
40,41.3048,-72.923
41,41.3048,-72.923
42,41.2524,-95.998
43,41.2524,-95.998
44,29.9551,-90.0747
45,40.7495,-73.9893
46,42.5952,-83.261
47,42.5952,-83.261
48,42.8969,-78.8263
49,42.259,-122.84
50,33.5028,-82.0412
51,41.8946,-84.0267
52,43.6169,-116.201
53,43.6169,-116.201
54,43.6169,-116.201
55,41.1801,-73.1887
56,41.1801,-73.1887
57,39.9539,-75.1597
58,32.3241,-95.2959
59,38.9114,-90.1573
60,45.5229,-122.579
61,37.9951,-78.7232
62,34.3076,-83.8247
63,30.0139,-90.019
64,26.6996,-80.1047
65,40.6937,-73.9913
66,40.6937,-73.9913
67,35.7756,-78.6346
68,32.5088,-93.7632
69,38.2441,-85.7637
70,39.9576,-77.6436
71,42.9463,-78.8406
72,41.1172,-87.8725
73,41.3049,-95.9719
74,37.7779,-122.227
75,35.8958,-80.0682
76,40.7614,-111.898
77,43.0013,-78.8622
78,33.2489,-92.6717
79,35.6368,-88.7964
80,42.9997,-83.6578
81,33.7555,-84.3906
82,31.3263,-89.2822
83,44.1136,-70.3152
84,41.5965,-73.0735
85,28.0432,-81.7615
86,40.6995,-85.0355
87,39.4816,-88.3655
88,41.6284,-87.5173
89,44.8312,-91.5221
90,32.4659,-93.8059
91,42.2711,-71.8097
92,40.368,-79.8939
93,30.2339,-92.0094
94,42.192,-121.727
95,38.5887,-121.401
96,33.4368,-111.943
97,35.0029,-89.9369
98,42.2336,-121.809
99,40.8226,-73.9204
100,40.8226,-73.9204
101,40.6856,-89.5956
102,42.5263,-71.7592
103,39.8858,-82.9304
104,35.9405,-115.102
105,35.0854,-106.671
106,30.4631,-84.3145
107,39.1223,-94.6455
108,42.3448,-71.072
109,42.3448,-71.072
110,42.3448,-71.072
111,39.5173,-119.805
112,38.5767,-92.1735
113,42.2428,-71.8473
114,40.9136,-74.1278
115,64.8383,-147.72
116,64.8383,-147.72
